Thaps_268895_SIT1	Skcos14253
Thaps_268895_SIT1	Skcos17175
Thaps_268895_SIT1	Skcos21067
Thaps_268895_SIT1	Skcos23425
Thaps_268895_SIT1	Skcos26581
Thaps_268895_SIT1	Skcos2733
Thaps_268895_SIT1	Skcos2790
Thaps_268895_SIT1	Skcos3999
Thaps_268895_SIT1	Skcos5041
Thaps_268895_SIT1	Throt1094
Thaps_268895_SIT1	Throt1095
Thaps_268895_SIT1	Throt1770
Thaps_268895_SIT1	Throt20362
Thaps_268895_SIT1	Throt3982
Thaps_268895_SIT1	Throt8048
Thaps_35133_SIT3	Skcos14253
Thaps_35133_SIT3	Skcos17175
Thaps_35133_SIT3	Skcos23425
Thaps_35133_SIT3	Skcos2733
Thaps_35133_SIT3	Skcos3999
Thaps_35133_SIT3	Skcos5041
Thaps_35133_SIT3	Throt1094
Thaps_35133_SIT3	Throt1095
Thaps_35133_SIT3	Throt1770
Thaps_35133_SIT3	Throt3982
Thaps_35133_SIT3	Throt8048
Thaps_41392_SIT2	Skcos14253
Thaps_41392_SIT2	Skcos17175
Thaps_41392_SIT2	Skcos21067
Thaps_41392_SIT2	Skcos23425
Thaps_41392_SIT2	Skcos26581
Thaps_41392_SIT2	Skcos2733
Thaps_41392_SIT2	Skcos2790
Thaps_41392_SIT2	Skcos3999
Thaps_41392_SIT2	Skcos5041
Thaps_41392_SIT2	Throt1094
Thaps_41392_SIT2	Throt1095
Thaps_41392_SIT2	Throt1770
Thaps_41392_SIT2	Throt20362
Thaps_41392_SIT2	Throt3982
Thaps_41392_SIT2	Throt8048
