Thaps_23858	Skcos2187	37.31	67	41	1	72	138	1392	1195	1e-06	52.0
Thaps_24435	Skcos3023	75.18	568	138	2	3	569	89	1786	0.0	 738
Thaps_24435	Throt579	74.43	567	136	3	8	569	210	1898	0.0	 716
Thaps_269393	Throt1708	87.05	440	57	0	20	459	9	1328	0.0	 802
Thaps_269393	Skcos2374	91.52	401	34	0	60	460	1387	185	0.0	 789
Thaps_269393	Throt9305	52.05	73	29	4	20	89	85	294	5e-13	67.0
Thaps_269393	Throt13168	22.76	369	204	16	58	415	1037	1933	2e-07	54.7
Thaps_269393	Skcos12218	23.21	293	154	11	58	343	969	283	2e-06	51.2
Thaps_269393	Throt5474	24.83	286	160	12	61	343	270	971	2e-06	51.2
Thaps_269393	Skcos6094	22.51	351	193	15	60	400	1149	304	3e-05	47.4
Thaps_269393	Skcos5166	23.23	310	182	12	47	356	1214	453	3e-05	47.4
Thaps_27414	Skcos1268	79.62	476	93	2	1	473	129	1553	0.0	 707
Thaps_27414	Throt4558	76.68	476	106	2	2	473	445	1869	0.0	 678
Thaps_27414	Skcos12040	75.00	480	111	3	2	473	148	1584	0.0	 641
Thaps_27414	Throt3872	81.30	369	65	2	109	473	3	1109	0.0	 555
Thaps_27414	Throt9387	61.61	448	168	2	9	452	392	1735	2e-163	 483
Thaps_27414	Skcos20575	79.05	315	61	1	18	327	947	3	9e-153	 453
Thaps_27414	Throt9776	53.52	454	203	2	1	446	2231	3592	6e-139	 436
Thaps_27414	Skcos1359	52.15	441	203	1	14	446	1389	2711	7e-132	 409
Thaps_27414	Skcos18919	49.88	425	187	2	9	425	1402	2622	6e-114	 360
Thaps_27414	Throt3871	83.19	226	37	1	1	226	154	828	9e-112	 336
Thaps_27414	Throt4559	79.65	231	46	1	2	232	506	1195	2e-110	 337
Thaps_27414	Throt3873	78.34	157	30	1	321	473	1	471	3e-66	 218
Thaps_27414	Throt9388	50.30	167	73	2	309	473	2	478	2e-35	 134
Thaps_32319	Throt12728	82.97	499	81	1	1	495	866	2362	0.0	 872
Thaps_32319	Skcos6647	81.96	499	86	1	1	495	1616	120	0.0	 868
Thaps_32319	Skcos19239	80.56	499	85	2	1	495	1503	31	0.0	 842
Thaps_32319	Skcos10831	24.95	513	334	13	1	495	875	2314	6e-28	 118
Thaps_32319	Throt4648	24.24	495	324	12	4	481	714	2096	1e-23	 105
Thaps_38190	Skcos27280	78.95	114	21	1	1	111	363	22	3e-59	 182
Thaps_38190	Throt16666	77.24	123	16	3	1	111	487	855	2e-54	 179
Thaps_38190	Skcos15230	61.82	110	38	2	2	108	327	1	2e-38	 132
Thaps_38190	Throt15514	57.14	112	44	2	2	110	507	839	1e-37	 134
Thaps_38190	Throt14736	44.76	105	53	3	5	105	1533	1844	1e-19	85.1
Thaps_38190	Skcos10095	87.80	41	5	0	1	41	345	467	4e-19	79.7
Thaps_38190	Throt14735	44.76	105	53	3	5	105	2734	3045	1e-18	83.2
Thaps_38190	Skcos10851	38.46	104	61	1	5	105	374	63	3e-18	81.3
Thaps_38190	Throt15515	58.14	43	18	0	68	110	88	216	3e-12	60.8
Thaps_3837	Skcos12716	56.22	555	174	9	7	557	1653	184	0.0	 582
Thaps_3837	Skcos12716	54.10	61	28	0	553	613	199	17	7e-13	72.8
Thaps_3837	Skcos7940	55.43	433	132	7	7	437	421	1542	5e-173	 441
Thaps_3837	Skcos7940	60.50	119	41	1	435	553	1517	1855	5e-173	 148
Thaps_3837	Skcos7940	54.90	51	23	0	556	606	1860	2012	5e-173	60.8
Thaps_3837	Throt8806	24.84	459	244	17	86	532	308	1417	1e-19	94.0
Thaps_3837	Skcos14200	25.22	230	128	9	271	500	1119	562	0.001	43.1
Thaps_3837	Throt18481	28.79	66	47	0	91	156	306	503	0.008	40.4
Thaps_43150	Skcos10851	85.28	591	85	2	1	590	1784	15	0.0	1078
Thaps_43150	Throt14736	83.36	601	85	2	1	590	102	1892	0.0	1061
Thaps_43150	Throt14735	83.33	600	85	2	2	590	1306	3093	0.0	1056
Thaps_43150	Skcos1682	32.26	186	123	2	110	293	563	9	3e-25	 105
Thaps_43150	Skcos27280	37.93	116	72	0	459	574	387	40	1e-19	87.8
Thaps_43150	Throt15514	37.40	123	76	1	456	578	471	836	8e-17	84.3
Thaps_43150	Skcos15230	39.17	120	71	2	457	575	363	7	2e-16	80.9
Thaps_43150	Throt16666	37.72	114	62	1	471	575	499	840	3e-16	82.4
Thaps_43150	Skcos10095	47.83	46	24	0	459	504	321	458	3e-07	51.2
Thaps_43150	Skcos5832	33.80	71	43	2	471	538	355	564	0.002	40.4
Thaps_6820	Skcos11996	26.28	156	89	4	216	365	684	1091	1e-04	45.8
